index,BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
1394,2,others,0.85,6469.0,1314.0,7,Unfurnished,East,not sure,2,,"Garden/Park, Main Road, Pool",Hydrabad
1395,2,others,0.62,5561.0,1115.0,3,Semi-Furnished,East,available,2,1,Garden/Park,Hydrabad
1396,3,NH 9,2.35,9404.0,2499.0,4,Semi-Furnished,East,available,4,2,Main Road,Hydrabad
1397,2,others,0.611,6465.0,945.0,5,Unfurnished,East,available,2,1,Garden/Park,Hydrabad
1398,3,others,1.39,6495.0,2140.0,5,Unfurnished,West,available,3,2,Garden/Park,Hydrabad
1399,4,others,8.1,13012.0,6225.0,10+,Unfurnished,West,not sure,4,3,"Garden/Park, Main Road, Pool",Hydrabad
1400,2,others,0.49,4083.0,1200.0,2,Semi-Furnished,East,not sure,2,2,"Garden/Park, Main Road",Hydrabad
1401,2,Manikonda Jagir,0.36,3000.0,1200.0,5,Furnished,South,not sure,2,2,,Hydrabad
1402,3,Manikonda Jagir,1.48,6700.0,2209.0,9,Unfurnished,East,available,3,2,"Garden/Park, Main Road, Pool",Hydrabad
1403,3,Kondapur,1.84,10698.0,1720.0,10+,Unfurnished,East,available,3,2,Garden/Park,Hydrabad
1404,4+,others,1.75,8706.0,2010.0,9,Semi-Furnished,,not sure,3,,,Hydrabad
1405,2,others,0.56,4828.0,1160.0,4,Unfurnished,East,available,2,2,Main Road,Hydrabad
1406,3,Narsingi,1.48,7800.0,1905.0,10+,Unfurnished,East,available,3,1,Main Road,Hydrabad
1407,3,others,4.0,16495.0,2425.0,1,Semi-Furnished,East,available,3,2,"Garden/Park, Main Road",Hydrabad
1408,3,others,0.65,4745.0,1370.0,4,Semi-Furnished,East,available,3,1,Main Road,Hydrabad
1409,4+,Kollur,1.52,4000.0,3800.0,10,Unfurnished,East,available,4+,2,"Garden/Park, Main Road, Pool",Hydrabad
1410,3,Narsingi,1.86,8750.0,2126.0,2,Unfurnished,West,available,3,2,"Garden/Park, Main Road, Pool",Hydrabad
1411,3,Gachibowli,0.63,4500.0,1400.0,4,Unfurnished,East,available,2,2,Garden/Park,Hydrabad
1412,3,others,1.41,7465.0,1889.0,10+,Unfurnished,East,available,3,2,"Garden/Park, Main Road, Pool",Hydrabad
1413,2,NH 9,0.85,7083.0,1200.0,1,Unfurnished,East,not sure,2,1,"Garden/Park, Main Road",Hydrabad
1414,3,others,1.55,8683.0,1785.0,5,Furnished,East,available,3,2,,Hydrabad
1415,3,Kondapur,2.19,8111.0,2700.0,2,Unfurnished,East,not sure,3,2,Main Road,Hydrabad
1416,3,Narsingi,2.4,10300.0,2335.0,7,Unfurnished,,not sure,3,,,Hydrabad
1417,3,others,1.04,6200.0,1677.0,1,Unfurnished,North - West,available,3,2,,Hydrabad
1418,4,Narsingi,2.96,11856.0,2500.0,5,Semi-Furnished,,not sure,4,,,Hydrabad
1419,3,Narsingi,2.4,11881.0,2020.0,10+,Unfurnished,East,not sure,3,2,Main Road,Hydrabad
1420,4,others,0.65,4333.0,1500.0,6,Furnished,East,available,2,2,Main Road,Hydrabad
1421,3,others,1.78,8500.0,2100.0,,Unfurnished,,not sure,3,,,Hydrabad
1422,4,Gachibowli,2.35,7833.0,3000.0,5,Furnished,,not sure,3,,,Hydrabad
1423,3,others,1.9,10270.0,1850.0,10+,Unfurnished,East,available,3,3,"Garden/Park, Main Road, Pool",Hydrabad
1424,2,Narsingi,1.59,11606.0,1370.0,10+,Unfurnished,East,not sure,2,1,Main Road,Hydrabad
1425,2,Outer Ring Road,0.52,4581.0,1135.0,3,Furnished,North - East,not sure,2,1,Main Road,Hydrabad
1426,2,Kondapur,1.0,10000.0,1000.0,5,Furnished,,not sure,2,,,Hydrabad
1427,3,Narsingi,1.19,6800.0,1760.0,4,Unfurnished,,not sure,3,2,,Hydrabad
1428,3,others,0.65,5417.0,1200.0,3,Unfurnished,East,not sure,2,1,Main Road,Hydrabad
1429,3,Narsingi,2.3,9850.0,2335.0,5,Unfurnished,West,not sure,3,3,Garden/Park,Hydrabad
1430,3,others,0.75,5882.0,1275.0,1,Furnished,South,not sure,3,1,Main Road,Hydrabad
1431,3,others,0.55,4053.0,1357.0,5,Unfurnished,,not sure,3,,,Hydrabad
1432,4,others,2.5,8929.0,2800.0,10+,Unfurnished,West,not sure,4,2,"Garden/Park, Main Road",Hydrabad
1433,3,Kompally,1.15,6970.0,1650.0,5,Furnished,West,not sure,3,1,"Garden/Park, Main Road",Hydrabad
1434,3,Gachibowli,1.03,8078.0,1275.0,2,Semi-Furnished,South,available,2,2,Main Road,Hydrabad
1435,3,NH 9,0.98,6282.0,1560.0,4,Unfurnished,North - East,not sure,2,2,Main Road,Hydrabad
1436,3,Kollur,0.9,5625.0,1600.0,10+,Unfurnished,East,available,3,1,"Garden/Park, Main Road, Pool",Hydrabad
1437,3,Bandlaguda Jagir,1.07,6800.0,1588.0,4,Unfurnished,West,available,3,1,Main Road,Hydrabad
1438,3,others,1.67,9298.0,1796.0,10+,Unfurnished,North - East,available,3,2,"Garden/Park, Pool",Hydrabad
