,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
87,2 BHK Apartment for Sale in Iyyappanthangal Chennai,"39 Lac4,535 per sqft",860 sqft,NAN,Ready to Move,1 out of 2,Resale,Unfurnished,South,NAN,Freehold,NAN,2,1,Main Road,NAN
88,3 BHK Apartment for Sale in Mogappair Chennai,"1.04 Cr8,075 per sqft",1006 sqft,NAN,Ready to Move,4 out of 6,New Property,Unfurnished,East,NAN,Freehold,NAN,2,1,"Garden/Park, Main Road",NAN
89,2 BHK Builder Floor for Sale in Kanathur Chennai,"60 Lac5,435 per sqft",1104 sqft,NAN,Ready to Move,1 out of 2,New Property,Unfurnished,South,NAN,Freehold,1 Open,2,1,"Main Road, Garden/Park",NAN
90,2 BHK Builder Floor for Sale in Pazhavanthangal Chennai,"85 Lac7,748 per sqft",900 sqft,NAN,Ready to Move,1 out of 2,Resale,Unfurnished,South,NAN,Freehold,NAN,2,NAN,"Garden/Park, Main Road",NAN
91,3 BHK Apartment for Sale in Padur Chennai,"75 Lac5,572 per sqft",1246 sqft,NAN,Ready to Move,14 out of 19,Resale,Semi-Furnished,South,NAN,Freehold,"1 Covered,",2,1,"Garden/Park, Pool, Main Road",NAN
92,3 BHK Apartment for Sale in Madipakkam Chennai,"1.40 Cr9,333 per sqft",1250 sqft,NAN,Ready to Move,2 out of 4,Resale,Semi-Furnished,East,NAN,Freehold,"2 Covered,",3,NAN,"Garden/Park, Main Road",NAN
93,4 BHK Apartment for Sale in Saligramam Chennai,"3.37 Cr10,974 per sqft",NAN,3071 sqft,NAN,4 out of 5,New Property,Unfurnished,North,NAN,Freehold,2 Covered,4,2,Garden/Park,Poss. by Mar '26
94,2 BHK Apartment for Sale in Korattur Chennai,"53.9 Lac6,500 per sqft",664 sqft,NAN,Ready to Move,3 out of 3,Resale,Semi-Furnished,North,NAN,Freehold,1 Covered,2,1,NAN,NAN
95,4 BHK Builder Floor for Sale in Madipakkam Chennai,"1.68 Cr7,500 per sqft",NAN,2240 sqft,NAN,1 out of 3,New Property,Unfurnished,North,NAN,Freehold,2 Covered,3,2,Main Road,Poss. by Jan '25
96,3 BHK Builder Floor for Sale in Surapet Main Road Chennai,"63 Lac5,450 per sqft",NAN,1156 sqft,Ready to Move,1 out of 3,New Property,Unfurnished,South,NAN,Freehold,1 Covered,2,1,Main Road,NAN
97,2 BHK Apartment for Sale in Pazhavanthangal Chennai,"43 Lac6,880 per sqft",425 sqft,NAN,Ready to Move,1 out of 2,Resale,Unfurnished,East,NAN,Freehold,NAN,2,NAN,"Garden/Park, Main Road",NAN
98,2 BHK Apartment for Sale in Choolaimedu Chennai,51 Lac,734 sqft,NAN,Ready to Move,2 out of 2,Resale,Unfurnished,South,NAN,NAN,NAN,2,2,NAN,NAN
99,2 BHK Apartment for Sale in Jafferkhanpet Chennai,"86 Lac11,559 per sqft",620 sqft,NAN,Ready to Move,3 out of 3,Resale,Unfurnished,South,NAN,Freehold,"1 Covered,",2,1,Garden/Park,NAN
100,3 BHK Apartment for Sale in West Mambalam Chennai,"90 Lac7,500 per sqft",1000 sqft,NAN,Ready to Move,1 out of 3,Resale,Unfurnished,South,NAN,Freehold,NAN,3,1,Garden/Park,NAN
101,2 BHK Apartment for Sale in Koyambedu Chennai,"58 Lac8,158 per sqft",611 sqft,NAN,Ready to Move,1 out of 2,Resale,Unfurnished,West,NAN,Freehold,NAN,2,NAN,"Garden/Park, Main Road",NAN
102,1 BHK Builder Floor for Sale in Adyar Chennai,"63 Lac9,633 per sqft",454 sqft,NAN,Ready to Move,1 out of 3,Resale,Unfurnished,North,NAN,Freehold,NAN,1,1,Main Road,NAN
103,2 BHK Apartment for Sale in Madha Nagar Madhanandapuram Chennai,"51 Lac5,030 per sqft",814 sqft,NAN,Ready to Move,1 out of 1,Resale,Unfurnished,South -West,NAN,Freehold,"1 Covered,",2,2,Garden/Park,NAN
104,1 BHK Apartment for Sale in Nesamani Nagar Perumbakkam Chennai,"42 Lac6,774 per sqft",420 sqft,NAN,Ready to Move,3 out of 4,Resale,Semi-Furnished,North,NAN,Freehold,1 Open,1,NAN,"Garden/Park, Pool, Main Road",NAN
105,2 BHK Builder Floor for Sale in Vadapalani Chennai,"70 Lac6,667 per sqft",NAN,1050 sqft,Ready to Move,1 out of 3,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
106,1 BHK Apartment for Sale in Shenoy Nagar Chennai,"75 Lac12,000 per sqft",425 sqft,NAN,Ready to Move,1 out of 4,Resale,Semi-Furnished,East,NAN,Freehold,NAN,1,1,Main Road,NAN
107,2 BHK Apartment for Sale in Dhandeeswaram Chennai,"83 Lac6,798 per sqft",1000 sqft,NAN,Ready to Move,3 out of 3,Resale,Semi-Furnished,North,NAN,Freehold,"1 Covered,",2,1,"Garden/Park, Main Road",NAN
108,3 BHK Apartment for Sale in Nungambakkam Chennai,"6.51 Cr20,732 per sqft",3135 sqft,NAN,Ready to Move,1 out of 4,Resale,Unfurnished,East,NAN,NAN,NAN,4,2,"Garden/Park, Pool",NAN
109,3 BHK Apartment for Sale in Kilpauk Chennai,"1.50 Cr10,870 per sqft",NAN,1380 sqft,Ready to Move,Ground out of 5,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
110,2 BHK Apartment for Sale in East Tambaram Chennai,"50 Lac6,180 per sqft",809 sqft,NAN,Ready to Move,Upper Basement out of 1,Resale,Semi-Furnished,West,NAN,Freehold,NAN,2,2,NAN,NAN
111,3 BHK Apartment for Sale in Anna Nagar West Chennai,"2.10 Cr13,125 per sqft",1450 sqft,NAN,Ready to Move,2 out of 4,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,2,NAN,NAN
112,3 BHK Apartment for Sale in Thiruvanmiyur Chennai,"1.65 Cr11,761 per sqft",NAN,1403 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,North,NAN,Freehold,1 Covered,3,1,NAN,NAN
113,2 BHK Apartment for Sale in Medavakkam Chennai,"71.6 Lac6,687 per sqft",1000 sqft,NAN,Ready to Move,1 out of 3,New Property,Unfurnished,North,NAN,Freehold,1 Covered,2,2,Main Road,NAN
114,2 BHK Apartment for Sale in Chromepet Chennai,"72 Lac6,870 per sqft",848 sqft,NAN,Ready to Move,1 out of 3,Resale,Semi-Furnished,East,NAN,Freehold,"1 Covered,",2,2,"Garden/Park, Main Road",NAN
115,3 BHK Apartment for Sale in Haddows Road Chennai,"2.30 Cr16,312 per sqft",1410 sqft,NAN,Ready to Move,1 out of 4,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,1,NAN,NAN
116,2 BHK Builder Floor for Sale in Selaiyur Chennai,"63 Lac5,237 per sqft",780 sqft,NAN,Ready to Move,2 out of 2,Resale,Semi-Furnished,North,NAN,Freehold,"1 Covered,",2,1,"Garden/Park, Main Road",NAN
117,1 BHK Apartment for Sale in Avadi Chennai,"32 Lac5,818 per sqft",450 sqft,NAN,Ready to Move,1 out of 2,Resale,Unfurnished,East,NAN,Freehold,NAN,1,NAN,"Garden/Park, Main Road",NAN
118,2 BHK Builder Floor for Sale in Harrington Road Chennai,"85 Lac9,189 per sqft",725 sqft,NAN,Ready to Move,1 out of 4,Resale,Semi-Furnished,North - West,NAN,Freehold,NAN,2,4,Main Road,NAN
119,3 BHK Apartment for Sale in Annai Indira Nagar Velachery Chennai,"85 Lac7,727 per sqft",1000 sqft,NAN,Ready to Move,1 out of 2,Resale,Semi-Furnished,South,NAN,Freehold,"1 Covered,",2,1,"Garden/Park, Main Road",NAN
120,3 BHK Apartment for Sale in Perambur Chennai,"1.40 Cr9,333 per sqft",1250 sqft,NAN,Ready to Move,4 out of 5,New Property,Unfurnished,East,NAN,Freehold,"1 Covered,",3,2,"Garden/Park, Main Road",NAN
121,3 BHK Apartment for Sale in Thiruvanmiyur Chennai,"2.20 Cr12,360 per sqft",1500 sqft,NAN,Ready to Move,3 out of 4,Resale,Semi-Furnished,North,NAN,Freehold,1 Covered,3,1,NAN,NAN
122,1 BHK Apartment for Sale in Teynampet Chennai,"76.8 Lac12,561 per sqft",611 sqft,NAN,Ready to Move,1 out of 3,New Property,Unfurnished,North,NAN,Freehold,NAN,1,1,NAN,NAN
