BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
3,others,2.09,14500,1445.0,2,Unfurnished,East,available,3,4+,Main Road,chennai
3,others,0.8109999999999999,6500,1248.0,1,Unfurnished,East,available,2,2,"Garden/Park, Main Road",chennai
3,others,1.45,10000,1450.0,4,Semi-Furnished,South,available,3,4+,Main Road,chennai
2,Kolathur,0.5910000000000001,6492,911.0,1,Unfurnished,North,available,2,1,Main Road,chennai
2,Avadi,0.44,5057,870.0,2,Unfurnished,East,available,2,1,Main Road,chennai
3,Medavakkam,0.7340000000000001,5850,1255.0,10+,Unfurnished,North,available,3,2,Main Road,chennai
3,others,3.40,15903,2138.0,2,Unfurnished,North,available,3,2,Main Road,chennai
3,others,0.8109999999999999,6500,1248.0,1,Semi-Furnished,East,available,3,3,"Garden/Park, Main Road",chennai
2,others,0.5,4545,1100.0,1,Unfurnished,East,May be not,2,1,Garden/Park,chennai
3,others,0.65,5390,1206.0,2,Semi-Furnished,West,available,2,2,Main Road,chennai
2,Pallikaranai,0.5,4762,1050.0,1,Unfurnished,North,May be not,2,4+,Garden/Park,chennai
3,others,1.25,,1270.0,2,Unfurnished,South,May be not,3,3,,chennai
2,others,1.20,16000,750.0,1,Semi-Furnished,East,May be not,2,1,,chennai
2,others,0.45,6410,702.0,1,Unfurnished,North,May be not,2,1,Main Road,chennai
3,others,0.75,6193,1211.0,1,Semi-Furnished,North - East,available,2,1,"Garden/Park, Main Road",chennai
3,others,0.6,4622,1298.0,1,Semi-Furnished,East,May be not,3,1,Main Road,chennai
3,others,3.75,18750,2000.0,2,Semi-Furnished,East,available,3,2,Garden/Park,chennai
3,Porur,0.99,6429,1540.0,1,Unfurnished,North,available,3,3,Main Road,chennai
3,Velachery,0.9,7223,1246.0,1,Semi-Furnished,West,available,2,1,"Garden/Park, Main Road",chennai
2,others,0.39,4535,860.0,1,Unfurnished,South,May be not,2,1,Main Road,chennai
3,Mogappair,1.04,8075,1288.0,4,Unfurnished,East,May be not,2,1,"Garden/Park, Main Road",chennai
2,others,0.6,5435,1104.0,1,Unfurnished,South,available,2,1,"Main Road, Garden/Park",chennai
2,others,0.85,7748,1097.0,1,Unfurnished,South,May be not,2,4+,"Garden/Park, Main Road",chennai
3,Padur,0.75,5572,1346.0,10+,Semi-Furnished,South,available,2,1,"Garden/Park, Pool, Main Road",chennai
3,Madipakkam,1.40,9333,1500.0,2,Semi-Furnished,East,available,3,4+,"Garden/Park, Main Road",chennai
4,others,3.37,10974,3071.0,4,Unfurnished,North,available,4,2,Garden/Park,chennai
2,others,0.539,6500,829.0,3,Semi-Furnished,North,available,2,1,,chennai
4,Madipakkam,1.68,7500,2240.0,1,Unfurnished,North,available,3,2,Main Road,chennai
3,others,0.63,5450,1156.0,1,Unfurnished,South,available,2,1,Main Road,chennai
2,others,0.43,6880,625.0,1,Unfurnished,East,May be not,2,4+,"Garden/Park, Main Road",chennai
2,others,0.51,,734.0,2,Unfurnished,South,May be not,2,2,,chennai
2,others,0.86,11559,744.0,3,Unfurnished,South,available,2,1,Garden/Park,chennai
3,others,0.9,7500,1200.0,1,Unfurnished,South,May be not,3,1,Garden/Park,chennai
2,others,0.58,8158,711.0,1,Unfurnished,West,May be not,2,4+,"Garden/Park, Main Road",chennai
1,others,0.63,9633,654.0,1,Unfurnished,North,May be not,1,1,Main Road,chennai
2,others,0.51,5030,1014.0,1,Unfurnished,South -West,available,2,2,Garden/Park,chennai
1,Perumbakkam,0.42,6774,620.0,3,Semi-Furnished,North,available,1,4+,"Garden/Park, Pool, Main Road",chennai
2,others,0.7000000000000001,6667,1050.0,1,Semi-Furnished,,May be not,2,4+,,chennai
1,others,0.75,12000,625.0,1,Semi-Furnished,East,May be not,1,1,Main Road,chennai
2,others,0.8300000000000001,6798,1221.0,3,Semi-Furnished,North,available,2,1,"Garden/Park, Main Road",chennai
3,others,6.51,20732,3140.0,1,Unfurnished,East,May be not,4,2,"Garden/Park, Pool",chennai
3,Kilpauk,1.50,10870,1380.0,0,Semi-Furnished,,May be not,3,4+,,chennai
2,others,0.5,6180,809.0,1,Semi-Furnished,West,May be not,2,2,,chennai
3,Anna Nagar,2.10,13125,1600.0,2,Semi-Furnished,,May be not,3,2,,chennai
3,Thiruvanmiyur,1.65,11761,1403.0,1,Semi-Furnished,North,available,3,1,,chennai
2,Medavakkam,0.716,6687,1071.0,1,Unfurnished,North,available,2,2,Main Road,chennai
2,Chromepet,0.72,6870,1048.0,1,Semi-Furnished,East,available,2,2,"Garden/Park, Main Road",chennai
3,others,2.30,16312,1410.0,1,Semi-Furnished,,May be not,3,1,,chennai
2,others,0.63,5237,1203.0,2,Semi-Furnished,North,available,2,1,"Garden/Park, Main Road",chennai
1,Avadi,0.32,5818,550.0,1,Unfurnished,East,May be not,1,4+,"Garden/Park, Main Road",chennai
2,others,0.85,9189,925.0,1,Semi-Furnished,North - West,May be not,2,4,Main Road,chennai
3,Velachery,0.85,7727,1100.0,1,Semi-Furnished,South,available,2,1,"Garden/Park, Main Road",chennai
3,Perambur,1.40,9333,1500.0,4,Unfurnished,East,available,3,2,"Garden/Park, Main Road",chennai
3,Thiruvanmiyur,2.20,12360,1780.0,3,Semi-Furnished,North,available,3,1,,chennai
1,others,0.768,12561,611.0,1,Unfurnished,North,May be not,1,1,,chennai
3,others,1.99,14000,1425.0,2,Unfurnished,,May be not,2,1,,chennai
2,others,0.6,4054,1480.0,2,Furnished,North,available,1,2,"Garden/Park, Main Road",chennai
2,others,0.8,8130,984.0,1,Furnished,North,May be not,2,2,Main Road,chennai
2,Velachery,0.67,7571,885.0,1,Semi-Furnished,South,available,2,4+,Main Road,chennai
2,others,0.52,5909,880.0,2,Semi-Furnished,North,May be not,2,1,Main Road,chennai
2,others,0.8300000000000001,10696,776.0,3,Semi-Furnished,East,May be not,1,1,Main Road,chennai
2,others,0.48,5156,931.0,1,Semi-Furnished,,available,2,1,,chennai
2,others,0.85,9444,900.0,2,Unfurnished,West,May be not,2,1,,chennai
2,others,0.62,5833,1063.0,2,Unfurnished,North,available,2,4+,,chennai
2,Urapakkam,0.34,4857,700.0,1,Furnished,,May be not,2,2,,chennai
2,Padur,0.62,,1268.0,7,Furnished,East,available,2,2,Garden/Park,chennai
2,others,0.45,4797,938.0,1,Semi-Furnished,East,May be not,2,1,"Garden/Park, Main Road",chennai
4+,others,1.75,14583,1200.0,2,Semi-Furnished,,May be not,4+,4+,,chennai
3,Manapakkam,1.28,8153,1570.0,2,Unfurnished,West,May be not,2,2,,chennai
3,others,0.9,7087,1270.0,1,,East,available,2,1,,chennai
2,others,0.9,,920.0,2,Semi-Furnished,,May be not,2,1,,chennai
2,others,0.75,,925.0,0,Semi-Furnished,North,May be not,2,4+,,chennai
3,others,1.80,9151,1967.0,4,Semi-Furnished,South,May be not,4,1,Garden/Park,chennai
2,others,0.45,4644,969.0,2,Unfurnished,South,May be not,2,3,Main Road,chennai
3,others,3.75,20604,1820.0,9,Unfurnished,,May be not,3,4+,,chennai
2,Avadi,0.45,5166,871.0,1,Unfurnished,North,May be not,2,2,,chennai
2,others,0.5,5734,872.0,3,Semi-Furnished,South - East,available,2,1,Garden/Park,chennai
2,others,0.49,5104,960.0,0,Unfurnished,East,May be not,2,4+,,chennai
3,others,0.79,5595,1412.0,2,Semi-Furnished,North,May be not,3,4+,Main Road,chennai
3,others,2.26,17042,1326.0,2,Unfurnished,East,available,2,2,"Garden/Park, Main Road",chennai
2,others,0.49,5338,918.0,1,Unfurnished,,May be not,2,1,,chennai
3,Perambur,0.9500000000000001,7037,1350.0,2,Unfurnished,,May be not,3,4+,,chennai
2,Urapakkam,0.59,5306,1112.0,10+,Unfurnished,,May be not,2,3,,chennai
2,others,0.75,8197,915.0,1,Unfurnished,North,May be not,2,1,Main Road,chennai
3,others,0.99,,1585.0,4,Furnished,South -West,available,3,2,Garden/Park,chennai
2,others,0.795,8500,935.0,1,Unfurnished,,May be not,2,2,,chennai
2,others,0.799,8500,940.0,1,Unfurnished,East,available,2,2,Garden/Park,chennai
2,Perumbakkam,0.604,5503,1098.0,1,Unfurnished,East,available,2,1,"Garden/Park, Main Road",chennai
2,Chromepet,0.65,8291,784.0,0,Furnished,North,May be not,2,4+,Main Road,chennai
2,others,0.35000000000000003,5072,690.0,0,Unfurnished,East,May be not,2,4+,"Garden/Park, Main Road",chennai
2,others,1.34,12500,1078.0,1,Unfurnished,North - West,available,2,1,"Garden/Park, Main Road",chennai
2,others,0.32,4571,700.0,1,Unfurnished,North,available,2,1,"Garden/Park, Main Road",chennai
2,Thiruvanmiyur,1.10,9778,1125.0,1,Semi-Furnished,East,available,2,1,"Garden/Park, Main Road",chennai
3,others,3,13636,2200.0,1,Semi-Furnished,East,available,3,3,Main Road,chennai
2,Guduvancheri,0.42,4300,976.0,2,Unfurnished,East,available,2,2,Main Road,chennai
1,others,0.58,10662,544.0,3,Furnished,South,available,1,4+,,chennai
3,others,0.62,4740,1308.0,1,Unfurnished,East,May be not,3,1,Main Road,chennai
4,Thoraipakkam,2.30,10683,2153.0,9,Furnished,West,available,4,2,"Garden/Park, Pool",chennai
2,others,0.93,9708,958.0,3,Semi-Furnished,South,available,2,1,"Garden/Park, Main Road",chennai
3,Kilpauk,2.50,16234,1540.0,1,Unfurnished,East,available,3,1,Main Road,chennai
2,others,0.59,4917,1200.0,1,Unfurnished,East,available,2,1,"Garden/Park, Pool",chennai
3,others,0.72,5509,1307.0,4,Semi-Furnished,,available,3,3,"Garden/Park, Main Road",chennai
4,others,1.25,9259,1350.0,1,Unfurnished,,May be not,4,4+,,chennai
2,others,1.39,13790,1008.0,1,Unfurnished,East,May be not,2,1,,chennai
3,others,1.25,10946,1142.0,3,Unfurnished,West,May be not,3,1,Main Road,chennai
2,Chromepet,0.7000000000000001,6295,1112.0,2,Furnished,,May be not,2,1,,chennai
2,others,1.75,16509,1060.0,1,Unfurnished,East,May be not,2,1,Main Road,chennai
2,others,0.451,4450,1013.0,1,,North,available,2,1,,chennai
2,others,0.42,5497,764.0,1,Unfurnished,North,May be not,2,4+,Main Road,chennai
2,others,0.37,5139,720.0,2,Unfurnished,East,available,1,4+,"Garden/Park, Main Road",chennai
1,Medavakkam,0.37700000000000006,5537,681.0,1,Unfurnished,East,May be not,1,1,Main Road,chennai
3,others,1.20,7500,1600.0,1,Semi-Furnished,West,available,3,1,,chennai
2,Ambattur,0.42,4118,1020.0,0,Unfurnished,North,May be not,2,4+,Garden/Park,chennai
3,others,0.85,5346,1590.0,3,Unfurnished,North,May be not,3,1,Garden/Park,chennai
3,Porur,0.8200000000000001,7069,1160.0,1,Unfurnished,East,available,2,1,"Garden/Park, Main Road",chennai
2,Velachery,0.9,11180,805.0,1,Semi-Furnished,East,available,2,4+,"Garden/Park, Main Road",chennai
2,others,0.75,7653,980.0,2,Semi-Furnished,East,available,2,2,"Garden/Park, Main Road",chennai
2,others,1.50,10345,1450.0,3,Semi-Furnished,North,available,3,1,"Garden/Park, Main Road",chennai
4,others,7,21212,3300.0,3,Semi-Furnished,North,May be not,4,4,Main Road,chennai
3,Kilpauk,3.20,15610,2050.0,3,Unfurnished,East,May be not,2,2,Main Road,chennai
3,others,0.67,4662,1437.0,0,Unfurnished,East,available,3,4+,Garden/Park,chennai
2,others,0.4,3925,1019.0,2,Unfurnished,,May be not,2,2,,chennai
2,others,0.45,4658,966.0,2,Unfurnished,North,May be not,2,1,"Garden/Park, Main Road",chennai
2,others,0.41000000000000003,4293,955.0,1,Unfurnished,East,available,2,1,Garden/Park,chennai
2,Madipakkam,0.55,6667,825.0,1,Semi-Furnished,East,available,2,1,"Garden/Park, Main Road",chennai
2,others,1,8929,1120.0,2,Semi-Furnished,West,May be not,2,1,Main Road,chennai
3,others,0.9,7732,1164.0,2,Unfurnished,North,May be not,2,4+,"Garden/Park, Main Road",chennai
