,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
550,> 10 BHK Builder Floor for Sale in Kengeri Bangalore,"2.75 Cr4,297 per sqft",5500 sqft,NAN,Ready to Move,Ground out of 4,Resale,Furnished,South,NAN,Freehold,2 Open,> 10,6,"Garden/Park, Main Road",NAN
551,3 BHK Builder Floor for Sale in Ullal Main Road Bangalore,"75 Lac4,545 per sqft",1550 sqft,NAN,Ready to Move,Ground out of 5,Resale,Semi-Furnished,North,NAN,NAN,1 Covered,2,1,Main Road,NAN
552,2 BHK Apartment for Sale in Seshadripuram Bangalore,"1.30 Cr12,037 per sqft",900 sqft,NAN,Ready to Move,3 out of 6,Resale,Unfurnished,North,NAN,Freehold,1 Covered,2,2,NAN,NAN
553,8 BHK Apartment for Sale in Kuthaganahalli Bangalore,"2.20 Cr4,889 per sqft",4000 sqft,NAN,Ready to Move,1 out of 3,Resale,Semi-Furnished,South,NAN,Freehold,4 Covered,8,7,NAN,NAN
554,2 BHK Apartment for Sale in Hebbal Bangalore,"93.6 Lac8,500 per sqft",NAN,1101 sqft,NAN,7 out of 13,Resale,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
555,2 BHK Apartment for Sale in Attibele Bangalore,"40 Lac4,000 per sqft",NAN,1000 sqft,Ready to Move,3 out of 5,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
556,2 BHK Apartment for Sale in Bidadi Bangalore,"55 Lac6,471 per sqft",NAN,850 sqft,Ready to Move,7 out of 13,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
557,"2 BHK Builder Floor for Sale in Doddakallasandra, Konanakunte Bangalore","60 Lac6,000 per sqft",NAN,1000 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,NAN,NAN,NAN,NAN,2,1,NAN,NAN
558,1 BHK Builder Floor for Sale in Palace Guttahalli Bangalore,"85 Lac19,495 per sqft",420 sqft,NAN,Ready to Move,Ground out of 5,Resale,Semi-Furnished,East,NAN,Freehold,NAN,1,1,NAN,NAN
559,3 BHK Apartment for Sale in Bagalur Bangalore,"1.20 Cr8,386 per sqft",NAN,1431 sqft,Ready to Move,20 out of 21,Resale,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
560,3 BHK Apartment for Sale in Yelahanka Bangalore,"1.45 Cr11,600 per sqft",NAN,1250 sqft,Ready to Move,6 out of 13,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
561,3 BHK Apartment for Sale in Sarjapur Road Bangalore,"1.99 Cr16,893 per sqft",NAN,1178 sqft,NAN,10 out of 14,Resale,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
562,2 BHK Penthouse for Sale in Banaswadi Bangalore,"1 Cr6,667 per sqft",NAN,1500 sqft,Ready to Move,2 out of 3,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
563,3 BHK Builder Floor for Sale in Srirampura Bangalore,"1.25 Cr9,259 per sqft",NAN,1350 sqft,Ready to Move,Ground out of 5,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
