BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
2,Sector 113,2.16,15766,1370.0,9,Unfurnished,North - East,1 Covered,2,2,"Garden/Park, Pool, Main Road",Gurgaon
3,Sector 113,3.33,18000,1850.0,10,Semi-Furnished,East,1 Covered,3,4,"Garden/Park, Pool, Main Road",Gurgaon
3,Sector 113,3.34,16576,2015.0,10+,Semi-Furnished,East,2 Covered,3,4,"Garden/Park, Main Road",Gurgaon
3,Sector 92,2,10025,1995.0,6,Semi-Furnished,North - East,1 Covered,4,3,Garden/Park,Gurgaon
3,Sector 59,4.85,21133,2295.0,10+,Semi-Furnished,North - West,,4,3,Main Road,Gurgaon
4,Sector 57,3,16251,1846.0,1,Furnished,North - West,2 Covered,4,2,,Gurgaon
4,Sector 106,4.34,14130,3075.0,10,Semi-Furnished,North - East,2 Covered,4+,4,Garden/Park,Gurgaon
3,Sector 61,2.19,14200,1542.0,3,Semi-Furnished,North - East,1 Open,3,2,Garden/Park,Gurgaon
3,Sector 111,4.44,19500,2277.0,10+,Semi-Furnished,North - East,"1 Covered,",3,4,"Garden/Park, Pool, Main Road",Gurgaon
4,others,3.15,10862,2900.0,10+,Semi-Furnished,North - West,"3 Covered,",4,4,Main Road,Gurgaon
4,Sector 113,4.71,14500,3248.0,4,Semi-Furnished,North - East,2 Covered,4+,4+,"Garden/Park, Pool, Main Road",Gurgaon
3,Sector 43,2.75,14474,1900.0,4,Semi-Furnished,North,2 Covered,4,2,"Garden/Park, Main Road",Gurgaon
4,Sector 63,8.08,20468,3950.0,10+,Semi-Furnished,East,,4+,4+,Garden/Park,Gurgaon
3,Sector 37D,1.53,12240,1250.0,2,Semi-Furnished,North - East,1 Covered,3,3,"Garden/Park, Pool, Main Road",Gurgaon
4,Sector 25,5.75,15972,3600.0,1,Semi-Furnished,North,"3 Covered,",4+,3,"Garden/Park, Main Road",Gurgaon
4,Sector 113,4.37,16850,2597.0,10+,Semi-Furnished,East,1 Covered,4,3,Garden/Park,Gurgaon
4,Sector 102,2.80,12346,2268.0,2,Semi-Furnished,East,,4,2,Garden/Park,Gurgaon
3,Sector 71,1.85,8043,2300.0,2,Semi-Furnished,East,"1 Covered,",3,3,"Garden/Park, Main Road",Gurgaon
3,others,2.70,13500,2000.0,1,Semi-Furnished,North - West,2 Covered,3,2,Main Road,Gurgaon
3,Sector 106,4,16327,2450.0,8,Semi-Furnished,North - East,2 Covered,3,3,Garden/Park,Gurgaon
4,others,5.25,18750,2800.0,2,Semi-Furnished,East,2 Covered,4,2,,Gurgaon
3,others,2.72,12035,2260.0,10+,Semi-Furnished,North - East,2 Covered,3,4,Garden/Park,Gurgaon
5+,Sector 106,6.50,15873,4095.0,10+,Semi-Furnished,North,"2 Covered,",4+,4+,"Garden/Park, Pool",Gurgaon
3,Sector 57,2.25,9506,2367.0,3,Semi-Furnished,North - East,"2 Covered,",3,2,Main Road,Gurgaon
3,Sector 61,4.50,20000,2250.0,10+,Unfurnished,East,2 Covered,3,3,"Garden/Park, Pool, Main Road",Gurgaon
3,Sector 65,5.60,17995,3112.0,2,Unfurnished,East,2 Covered,3,4,"Garden/Park, Pool",Gurgaon
3,Sector 43,6.20,31266,1983.0,10+,Unfurnished,East,,4,3,"Garden/Park, Main Road",Gurgaon
4,Sector 43,4.25,15741,2700.0,4,Semi-Furnished,North,"2 Covered,",4,3,Garden/Park,Gurgaon
3,others,2.90,14947,1940.0,10+,Semi-Furnished,North - East,2 Covered,3,3,"Garden/Park, Pool, Main Road",Gurgaon
4,Sector 37D,2.50,11410,2191.0,9,Semi-Furnished,North - East,"2 Covered,",4,4,"Garden/Park, Pool, Main Road",Gurgaon
5+,others,11.65,25889,4500.0,8,Furnished,East,,4+,4,"Garden/Park, Pool, Main Road",Gurgaon
3,Sector 106,3,14985,2002.0,9,Semi-Furnished,North - East,2 Covered,3,4,"Garden/Park, Main Road",Gurgaon
2,Sector 106,1.30,9517,1366.0,,Unfurnished,,1 Covered,2,,,Gurgaon
3,Sector 106,4.25,15741,2700.0,9,Semi-Furnished,North,2 Covered,4+,3,"Garden/Park, Pool, Main Road",Gurgaon
2,Sector 89,1.55,9568,1620.0,6,Unfurnished,East,1 Covered,3,2,"Garden/Park, Main Road",Gurgaon
3,Sector 61,4.15,18444,2250.0,9,Semi-Furnished,North - East,1 Covered,4,4,"Garden/Park, Pool, Main Road",Gurgaon
4,Sector 49,5.79,17124,3381.0,8,Semi-Furnished,North - East,1 Covered,4,4,"Garden/Park, Pool, Main Road",Gurgaon
3,others,2.20,10000,2200.0,1,Semi-Furnished,North - East,"1 Covered,",3,2,"Garden/Park, Pool, Main Road",Gurgaon
3,Sector 111,3.43,16500,2080.0,10+,Semi-Furnished,North - East,"1 Covered,",4,4,"Garden/Park, Pool, Main Road",Gurgaon
4,Sector 106,5.26,15500,3394.0,10,Unfurnished,North - East,1 Open,4,4,"Garden/Park, Main Road",Gurgaon
3,Sector 111,4.45,18270,2440.0,,Semi-Furnished,North - East,2 Covered,3,4,"Garden/Park, Pool, Main Road",Gurgaon
4,Sector 26,5.76,19200,3000.0,3,Semi-Furnished,North - East,3 Covered,4+,2,Main Road,Gurgaon
4,Sector 111,4.50,18000,2500.0,10+,Unfurnished,West,,4+,4,"Garden/Park, Main Road",Gurgaon
4,others,2.89,13136,2200.0,1,Furnished,East,2 Covered,4,2,"Garden/Park, Main Road",Gurgaon
3,others,1.90,8760,2169.0,2,Semi-Furnished,West,,3,2,Garden/Park,Gurgaon
3,Sector 111,3.92,17178,2282.0,,Semi-Furnished,,2 Covered,3,,,Gurgaon
3,Sector 79,1.51,9947,1518.0,2,Semi-Furnished,North,1 Covered,3,2,Garden/Park,Gurgaon
3,Sector 61,2.35,15171,1549.0,10+,Semi-Furnished,,1 Covered,3,3,Garden/Park,Gurgaon
3,Sector 63A,1.48,11341,1305.0,2,Semi-Furnished,North - East,1 Covered,3,2,"Garden/Park, Pool, Main Road",Gurgaon
3,Sector 61,2.40,14561,1648.0,1,Semi-Furnished,North - East,1 Covered,3,4,Garden/Park,Gurgaon
4,others,2.50,9184,2722.0,1,Semi-Furnished,East,1 Covered,4,3,"Garden/Park, Pool",Gurgaon
2,Sector 106,1.80,13177,1366.0,10+,Semi-Furnished,North - East,"1 Covered,",2,3,Garden/Park,Gurgaon
3,Sector 61,4.10,18222,2250.0,10+,Semi-Furnished,North - East,2 Covered,3,4,"Garden/Park, Pool, Main Road",Gurgaon
2,others,1.20,8219,1460.0,10+,Semi-Furnished,East,1 Covered,2,3,"Main Road, Garden/Park",Gurgaon
3,Sector 61,2.15,13880,1549.0,2,Unfurnished,North - East,"2 Covered,",4,3,"Garden/Park, Pool",Gurgaon
3,Sector 111,4.10,17967,2282.0,10+,Semi-Furnished,North - East,"1 Covered,",3,,Garden/Park,Gurgaon
3,Sector 61,4.25,18889,2250.0,9,Semi-Furnished,,1 Covered,3,3,Main Road,Gurgaon
4,Sector 25,3.51,12316,2850.0,2,Semi-Furnished,East,,4,2,"Garden/Park, Pool, Main Road",Gurgaon
4,Sector 43,4,14815,2700.0,1,Semi-Furnished,East,2 Covered,4,2,Main Road,Gurgaon
2,Sector 61,1.92,15360,1250.0,3,Semi-Furnished,North - East,1 Covered,2,2,"Garden/Park, Main Road",Gurgaon
3,Sector 111,3.97,17397,2282.0,10+,Semi-Furnished,North - East,2 Covered,3,4+,"Pool, Garden/Park, Main Road",Gurgaon
3,Sector 26,3.50,11667,3000.0,10+,Semi-Furnished,West,1 Covered,3,2,,Gurgaon
2,Sector 61,1.55,13478,1150.0,1,Semi-Furnished,North - East,2 Covered,2,2,"Garden/Park, Pool",Gurgaon
3,Sector 65,8.46,24000,3525.0,10+,Furnished,East,"2 Covered,",3,3,"Garden/Park, Pool, Main Road",Gurgaon
4,others,2.30,10455,2200.0,2,Semi-Furnished,North,2 Covered,4,2,Garden/Park,Gurgaon
4,Sector 14,2.50,11905,2100.0,1,Semi-Furnished,East,2 Covered,4,3,Garden/Park,Gurgaon
3,others,1.65,6561,2515.0,1,Semi-Furnished,East,1 Covered,3,2,Main Road,Gurgaon
5+,others,7.85,12031,6525.0,2,Semi-Furnished,East,,4+,2,"Pool, Garden/Park, Main Road",Gurgaon
3,others,4,15760,2538.0,10+,Semi-Furnished,North - East,1 Covered,3,3,"Garden/Park, Pool, Main Road",Gurgaon
3,others,2.15,15844,1357.0,10+,Unfurnished,South - East,1 Open,3,2,Main Road,Gurgaon
3,Sector 26,2.50,13889,1800.0,1,Semi-Furnished,North,"2 Covered,",3,2,"Garden/Park, Main Road",Gurgaon
4,Sector 57,3.80,17593,2160.0,4,Furnished,East,2 Covered,4,2,,Gurgaon
3,Sector 65,6,17396,3449.0,10+,Unfurnished,North - East,"2 Covered,",4,4,"Garden/Park, Pool, Main Road",Gurgaon
3,others,1.88,10190,1845.0,5,Semi-Furnished,East,1 Covered,2,3,Main Road,Gurgaon
3,Sector 49,1.90,11875,1600.0,3,Semi-Furnished,North - East,"1 Covered,",3,2,"Garden/Park, Pool, Main Road",Gurgaon
4,Sector 111,3.80,12881,2950.0,4,Unfurnished,North - East,3 Covered,4+,4,"Garden/Park, Pool",Gurgaon
4,Sector 65,17,28099,6050.0,10+,Semi-Furnished,North - East,3 Covered,4+,4,"Garden/Park, Pool, Main Road",Gurgaon
3,Sector 111,2.95,15567,1895.0,7,Unfurnished,North - East,"1 Covered,",3,3,"Garden/Park, Pool, Main Road",Gurgaon
4,Sector 51,2.99,14238,2100.0,4,Semi-Furnished,East,2 Covered,3,3,"Garden/Park, Main Road",Gurgaon
3,Sector 24,2.40,12973,1850.0,4,Semi-Furnished,North - West,,3,2,Main Road,Gurgaon
4,others,2.85,8906,3200.0,4,Semi-Furnished,East,"2 Covered,",4,2,"Garden/Park, Main Road",Gurgaon
3,others,1.95,11471,1700.0,1,Furnished,East,2 Covered,3,3,"Pool, Garden/Park, Main Road",Gurgaon
4,Sector 24,2.80,15757,1777.0,5,Semi-Furnished,North - West,1 Covered,4,3,"Garden/Park, Main Road",Gurgaon
4,Sector 89,2.15,8583,2505.0,3,Semi-Furnished,North,2 Covered,4,3,"Garden/Park, Pool, Main Road",Gurgaon
3,Sector 89,1.35,9487,1423.0,10+,Unfurnished,North,,3,3,"Garden/Park, Pool, Main Road",Gurgaon
4,Sector 63,8,20253,3950.0,10+,Semi-Furnished,East,3 Covered,4+,4+,"Garden/Park, Pool, Main Road",Gurgaon
3,others,1.59,11000,1445.0,8,Semi-Furnished,North,,2,3,"Pool, Garden/Park, Main Road",Gurgaon
3,Sector 89,3,17647,1700.0,10+,Semi-Furnished,East,,3,4+,"Main Road, Garden/Park, Pool",Gurgaon
2,others,4.20,21000,2000.0,5,Semi-Furnished,North - East,1 Covered,2,2,"Garden/Park, Pool, Main Road",Gurgaon
3,others,1.45,9667,1500.0,2,Semi-Furnished,East,,3,3,"Pool, Garden/Park, Main Road",Gurgaon
3,Sector 65,7.25,20655,3510.0,10+,Semi-Furnished,North - East,2 Covered,4,2,"Garden/Park, Pool, Main Road",Gurgaon
3,Sector 59,4.70,20479,2295.0,7,Semi-Furnished,North - East,2 Covered,4+,2,"Garden/Park, Pool, Main Road",Gurgaon
3,others,1.93,12215,1580.0,3,Semi-Furnished,East,1 Covered,3,3,"Garden/Park, Pool, Main Road",Gurgaon
4,others,3.25,10621,3060.0,1,Semi-Furnished,North - East,"2 Covered,",4,3,Main Road,Gurgaon
3,Sector 59,6.70,21571,3106.0,10+,Semi-Furnished,East,2 Covered,4,3,Main Road,Gurgaon
3,others,4.50,18672,2410.0,9,Semi-Furnished,North - East,1 Covered,3,3,Garden/Park,Gurgaon
3,Sector 106,4.04,16500,2450.0,10+,Semi-Furnished,North - East,1 Covered,4,3,Garden/Park,Gurgaon
3,Sector 85,2.85,13387,2129.0,3,Semi-Furnished,North,1 Covered,3,3,"Garden/Park, Pool",Gurgaon
3,Sector 71,2.19,13519,1620.0,2,Furnished,East,2 Covered,3,3,"Garden/Park, Main Road",Gurgaon
2,Sector 79,1.71,15100,1132.0,2,Semi-Furnished,North - East,"1 Covered,",2,2,"Garden/Park, Pool, Main Road",Gurgaon
