,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
967,"4 BHK Apartment for Sale in Saan Verdante, Sector 95 Gurgaon","4.16 Cr12,064 per sqft",2600 sqft,NAN,Ready to Move,4 out of 24,Resale,Semi-Furnished,East,Saan Verdante,Freehold,"2 Covered,",4,5,NAN,NAN
968,3 BHK Penthouse for Sale in Sector 91 Gurgaon,"4.25 Cr10,021 per sqft",NAN,4241 sqft,Ready to Move,12 out of 12,Resale,Semi-Furnished,North - East,NAN,Freehold,NAN,4,5,"Main Road, Pool",NAN
969,3 BHK Apartment for Sale in Gpl eden heights Gurgaon,2.50 Cr,2150 sqft,NAN,Ready to Move,6 out of 17,Other,Semi-Furnished,NAN,NAN,NAN,NAN,4,NAN,NAN,NAN
970,"Studio Apartment for Sale in One Key Resiments, Sector 67 Gurgaon","1.10 Cr12,987 per sqft",391 sqft,NAN,Ready to Move,14 out of 18,Resale,Furnished,East,One Key Resiments,Co-operative Society,NAN,1,1,"Garden/Park, Main Road",NAN
971,"2 BHK Builder Floor for Sale in Ashok Vihar, Sector 3 Gurgaon","30 Lac3,750 per sqft",NAN,800 sqft,Ready to Move,NAN,Resale,Semi-Furnished,NAN,NAN,Freehold,NAN,2,NAN,NAN,NAN
972,3 BHK Apartment for Sale in Sector 69 Gurgaon,"66.3 Lac5,000 per sqft",1326 sqft,NAN,NAN,1 out of 12,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
973,"4 BHK Apartment for Sale in Parsvnath Green Ville, Sector 48 Gurgaon","3.20 Cr14,545 per sqft",2200 sqft,NAN,Ready to Move,9 out of 11,Resale,Semi-Furnished,NAN,Parsvnath Green Ville,NAN,NAN,4,4,NAN,NAN
974,"4 BHK Builder Floor for Sale in Sector 74, Delhi Gurgaon Expressway Gurgaon",4.70 Cr,3300 sqft,NAN,Ready to Move,4 out of 4,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,4,4,NAN,NAN
975,"2 BHK Apartment for Sale in Imperia Esfera, Sector 37C, Delhi Gurgaon Expressway Gurgaon","1.01 Cr6,408 per sqft",NAN,1578 sqft,Ready to Move,14 out of 19,Resale,Semi-Furnished,North,Imperia Esfera,Freehold,1 Covered,3,3,"Garden/Park, Pool, Main Road",NAN
976,"2 BHK Builder Floor for Sale in Sare Crescent Parc, Sector 92 Gurgaon","50 Lac5,000 per sqft",NAN,1000 sqft,NAN,2 out of 3,Resale,Furnished,North,Sare Crescent Parc,Freehold,NAN,1,2,NAN,NAN
977,"3 BHK Builder Floor for Sale in Birla Navya, Sector 63A Gurgaon","3.80 Cr13,103 per sqft",NAN,2900 sqft,Ready to Move,1 out of 2,Resale,Unfurnished,NAN,Birla Navya,NAN,NAN,3,3,Garden/Park,NAN
978,"2 BHK Apartment for Sale in BPTP Spacio, Sector 37D, Delhi Gurgaon Expressway Gurgaon","36 Lac3,600 per sqft",NAN,1000 sqft,Ready to Move,10 out of 20,Resale,Unfurnished,North - East,BPTP Spacio,Freehold,1 Covered,2,2,Garden/Park,NAN
979,"4 BHK Apartment for Sale in Sare Petioles, Sector 92 Gurgaon","1.10 Cr4,942 per sqft",NAN,2226 sqft,NAN,14 out of 18,Resale,Unfurnished,NAN,Sare Petioles,Freehold,1 Covered,4,NAN,NAN,NAN
980,"1 BHK Apartment for Sale in Emaar Imperial Gardens, Sector 102 Gurgaon","15 Lac6,881 per sqft",NAN,218 sqft,Ready to Move,3 out of 4,Resale,Unfurnished,East,Emaar Imperial Gardens,Co-operative Society,NAN,1,NAN,Main Road,NAN
981,"3 BHK Apartment for Sale in Tata La Vida, Sector 113 Gurgaon","3.40 Cr12,607 per sqft",NAN,2697 sqft,NAN,6 out of 13,Resale,Unfurnished,East,Tata La Vida,Freehold,1 Covered,3,2,Garden/Park,Poss. by Nov '24
982,"3 BHK Apartment for Sale in Sare Crescent Parc, Sector 92 Gurgaon","82 Lac5,384 per sqft",NAN,1523 sqft,Ready to Move,12 out of 15,Resale,Semi-Furnished,West,Sare Crescent Parc,Freehold,1 Covered,3,4,NAN,NAN
983,"2 BHK Apartment for Sale in Eldeco Accolade, Sector 2 Sohna Gurgaon","1.30 Cr8,922 per sqft",849 sqft,NAN,NAN,Ground out of 11,Resale,Unfurnished,NAN,Eldeco Accolade,Leasehold,NAN,2,4,"Garden/Park, Pool",Poss. by Nov '24
984,"3 BHK Apartment for Sale in Mahindra Aura Phase I, Sector 110A Gurgaon","1.75 Cr10,836 per sqft",1615 sqft,NAN,Ready to Move,2 out of 12,Resale,Unfurnished,East,Mahindra Aura Phase I,Freehold,NAN,3,3,Main Road,NAN
985,"3 BHK Apartment for Sale in DLF Richmond Park, DLF City Gurgaon","4.50 Cr21,429 per sqft",2100 sqft,NAN,Ready to Move,10 out of 21,Resale,Semi-Furnished,North,DLF Richmond Park,Freehold,"1 Covered,",3,3,"Garden/Park, Pool",NAN
986,"3 BHK Apartment for Sale in M3M Marina, Sector 68 Gurgaon","1.60 Cr10,323 per sqft",NAN,1550 sqft,Ready to Move,12 out of 14,Resale,Semi-Furnished,NAN,M3M Marina,NAN,NAN,3,NAN,NAN,NAN
987,"3 BHK Apartment for Sale in Godrej Air, Sector 85 Gurgaon","3 Cr14,091 per sqft",NAN,2129 sqft,NAN,3 out of 24,Resale,Semi-Furnished,NAN,Godrej Air,NAN,NAN,3,2,NAN,Poss. by Sep '24
988,"3 BHK Apartment for Sale in Emerald Floors Premier, Sector 65 Gurgaon","4 Cr24,242 per sqft",NAN,1650 sqft,Ready to Move,Ground out of 6,Resale,Semi-Furnished,NAN,Emerald Floors Premier,NAN,NAN,3,NAN,Main Road,NAN
989,"3 BHK Apartment for Sale in SS The Leaf, Sector 85 Gurgaon","1.68 Cr6,977 per sqft",NAN,2408 sqft,Ready to Move,7 out of 15,Resale,Unfurnished,East,SS The Leaf,Freehold,NAN,4,3,"Garden/Park, Pool, Main Road",NAN
990,"2 BHK Builder Floor for Sale in Signature Global City 92 Phase 2, Sector 92 Gurgaon","1.23 Cr12,190 per sqft",1009 sqft,NAN,NAN,1 out of 4,Resale,Unfurnished,NAN,Signature Global City 92 Phase 2,Freehold,NAN,2,1,Main Road,Poss. by Jul '25
991,"4 BHK Apartment for Sale in Abhash Apartment, Sector 56 Gurgaon","2.85 Cr10,459 per sqft",NAN,2725 sqft,Ready to Move,3 out of 8,Resale,Unfurnished,East,Abhash Apartment,Freehold,NAN,4,NAN,Garden/Park,NAN
992,"2 BHK Apartment for Sale in Raheja Navodaya, Sector 92 Gurgaon","85 Lac5,674 per sqft",NAN,1498 sqft,Ready to Move,11 out of 15,Resale,Unfurnished,NAN,Raheja Navodaya,NAN,NAN,2,2,NAN,NAN
993,2 BHK Apartment for Sale in Land Mark Gurgaon,"57.5 Lac5,324 per sqft",NAN,1080 sqft,Ready to Move,2 out of 5,Resale,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
994,"2 BHK Builder Floor for Sale in Sushant Floors, Sushant Lok 2 Sector 57 Gurgaon","85 Lac9,827 per sqft",NAN,865 sqft,Ready to Move,3 out of 3,Resale,Semi-Furnished,East,Sushant Floors,Freehold,NAN,2,2,NAN,NAN
