index,BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
193.0,1,others,0.25,5556.0,450.0,5,Unfurnished,East,not sure,1,1,Main Road,Hydrabad
194.0,4,Banjara Hills,5.05,12625.0,4000.0,4,Unfurnished,East,available,4+,2,Garden/Park,Hydrabad
195.0,3,Puppalguda,1.13,6000.0,1890.0,6,Unfurnished,East,available,3,2,"Garden/Park, Main Road, Pool",Hydrabad
196.0,2,others,0.85,6800.0,1250.0,2,Unfurnished,East,available,2,1,Garden/Park,Hydrabad
197.0,2,others,0.65,6842.0,950.0,1,Semi-Furnished,East,available,2,1,Main Road,Hydrabad
198.0,3,others,0.96,6194.0,1550.0,1,Unfurnished,West,available,3,2,Main Road,Hydrabad
199.0,4,Kondapur,3.31,9350.0,3540.0,10+,Unfurnished,East,available,4,2,Garden/Park,Hydrabad
200.0,2,Outer Ring Road,0.539,7693.0,701.0,1,Unfurnished,East,available,2,2,"Garden/Park, Main Road, Pool",Hydrabad
201.0,2,others,0.637,5099.0,1249.0,3,Unfurnished,East,available,2,1,"Garden/Park, Main Road, Pool",Hydrabad
202.0,3,others,0.9,6429.0,1400.0,1,Unfurnished,North,not sure,2,2,Main Road,Hydrabad
203.0,3,others,0.65,5200.0,1250.0,5,Semi-Furnished,East,not sure,2,2,Main Road,Hydrabad
204.0,2,others,0.422,3456.0,1221.0,2,Furnished,East,not sure,2,2,"Garden/Park, Main Road",Hydrabad
205.0,3,Kompally,1.5,6098.0,2460.0,2,Unfurnished,East,available,3,3,Main Road,Hydrabad
206.0,3,others,0.72,4737.0,1520.0,1,Unfurnished,North,available,2,1,Garden/Park,Hydrabad
207.0,3,others,0.9,5678.0,1585.0,5,Furnished,West,not sure,3,2,"Garden/Park, Main Road, Pool",Hydrabad
208.0,3,others,1.0,5263.0,1900.0,5,Semi-Furnished,North - East,available,2,2,Main Road,Hydrabad
209.0,3,NH 9,0.9,6923.0,1300.0,10+,Unfurnished,East,not sure,2,1,Main Road,Hydrabad
210.0,3,others,1.68,7304.0,2300.0,4,Unfurnished,West,available,4,1,"Garden/Park, Main Road",Hydrabad
211.0,3,Manikonda Jagir,1.65,8691.2,1710.0,4,Unfurnished,East,not sure,2,2,"Garden/Park, Main Road, Pool",Hydrabad
212.0,3,Narsingi,3.1,11654.0,2660.0,10+,Unfurnished,West,not sure,3,3,Garden/Park,Hydrabad
213.0,2,others,0.42,4468.0,940.0,4,Unfurnished,East,not sure,2,1,Main Road,Hydrabad
214.0,4,Kondapur,7.0,11667.0,6000.0,10+,Unfurnished,East,available,4,2,Main Road,Hydrabad
215.0,2,others,0.782,6800.0,1150.0,4,Semi-Furnished,West,available,2,2,Main Road,Hydrabad
216.0,2,Pragathi Nagar,0.5,3998.0,1251.0,1,Unfurnished,East,available,2,1,"Garden/Park, Main Road, Pool",Hydrabad
217.0,3,others,0.84,5600.0,1500.0,2,Semi-Furnished,West,available,3,2,Garden/Park,Hydrabad
218.0,2,Kondapur,1.3,8638.0,1505.0,10,Unfurnished,West,not sure,2,2,"Garden/Park, Main Road, Pool",Hydrabad
219.0,4,Kondapur,3.85,10969.0,3510.0,2,Furnished,West,available,4+,2,"Garden/Park, Main Road",Hydrabad
220.0,3,others,1.7,6600.0,2576.0,10+,Unfurnished,East,available,4,2,Main Road,Hydrabad
221.0,3,Kompally,0.8,5714.0,1400.0,1,Unfurnished,West,available,2,2,Main Road,Hydrabad
222.0,3,Chanda Nagar,1.25,7862.0,1590.0,10+,Semi-Furnished,West,available,3,1,Main Road,Hydrabad
223.0,3,Kondapur,2.1,8842.0,2375.0,10+,Semi-Furnished,East,not sure,3,2,Garden/Park,Hydrabad
224.0,3,Chanda Nagar,0.79,7600.6,1350.0,1,Semi-Furnished,East,not sure,2,1,Main Road,Hydrabad
225.0,2,Narsingi,0.68,5667.0,1200.0,5,Unfurnished,West,not sure,2,1,Main Road,Hydrabad
226.0,3,others,0.763,5000.0,1526.0,4,Unfurnished,East,available,3,1,Main Road,Hydrabad
227.0,3,Manikonda Jagir,2.0,10230.0,1955.0,10+,Semi-Furnished,East,available,3,3,Garden/Park,Hydrabad
228.0,3,Bandlaguda Jagir,1.11,6707.0,1655.0,6,Unfurnished,East,not sure,2,1,"Garden/Park, Main Road, Pool",Hydrabad
229.0,3,Outer Ring Road,1.43,6500.0,2200.0,3,Unfurnished,West,available,3,2,Main Road,Hydrabad
230.0,3,Kondapur,2.34,9300.0,2516.0,10+,Unfurnished,West,available,3,2,"Garden/Park, Main Road",Hydrabad
231.0,2,others,0.665,5556.0,1197.0,4,Unfurnished,West,available,2,1,Main Road,Hydrabad
232.0,3,Uppal,1.0,5405.0,1850.0,3,Unfurnished,North,not sure,3,2,Main Road,Hydrabad
233.0,3,Manikonda Jagir,0.72,5333.0,1350.0,3,Unfurnished,North,not sure,2,3,Main Road,Hydrabad
234.0,4,others,3.64,10000.0,3640.0,4,Furnished,North - East,available,4,2,Main Road,Hydrabad
235.0,2,Pragathi Nagar,0.6900000000000001,5750.0,1200.0,1,Semi-Furnished,West,available,2,1,Main Road,Hydrabad
