,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
319,"3 BHK Apartment for Sale in Asshna Seabliss, Andheri West Mumbai","4.30 Cr26,380 per sqft",1241 sqft,NAN,NAN,18 out of 23,New Property,Unfurnished,North - East,Asshna Seabliss,Leasehold,2 Covered,3,1,Garden/Park,Poss. by Dec '25
320,"3 BHK Apartment for Sale in Dove At L And T Realty Elixir Reserve, Powai Mumbai","6.69 Cr35,250 per sqft",1392 sqft,NAN,NAN,15 out of 26,New Property,Unfurnished,East,Dove At L And T Realty Elixir Reserve,Freehold,"1 Covered,",3,3,Garden/Park,Poss. by May '27
321,3 BHK Apartment for Sale in Gulmohar Road Mumbai,8.24 Cr,1498 sqft,NAN,NAN,2 out of 17,New Property,Unfurnished,East,NAN,Freehold,1 Open,3,1,Garden/Park,Poss. by Dec '26
322,"2 BHK Apartment for Sale in Sethia Pride, Thakur Village, Kandivali East Mumbai","1.39 Cr16,382 per sqft",620 sqft,NAN,NAN,10 out of 40,New Property,Unfurnished,West,Sethia Pride,Freehold,1 Covered,2,1,Main Road,Poss. by Dec '26
323,"3 BHK Apartment for Sale in Godrej Urban Park, Chandivali Mumbai","3.01 Cr24,392 per sqft",957 sqft,NAN,NAN,NAN,New Property,Unfurnished,East,Godrej Urban Park,Freehold,2 Covered,3,1,"Garden/Park, Pool, Main Road",Poss. by Dec '24
324,2 BHK Apartment for Sale in Kannamwar Nagar 1 Mumbai,"1.15 Cr14,375 per sqft",637 sqft,NAN,NAN,12 out of 23,New Property,Unfurnished,East,NAN,Freehold,"1 Covered,",2,NAN,"Garden/Park, Pool",Poss. by May '25
325,"2 BHK Apartment for Sale in Ruparel Panache, Santacruz West Mumbai","4.88 Cr56,744 per sqft",860 sqft,NAN,NAN,4 out of 19,New Property,Unfurnished,East,Ruparel Panache,Freehold,1 Open,2,2,Main Road,Poss. by Dec '25
326,"2 BHK Apartment for Sale in Lodha Regalia, Mulund East Mumbai","1.96 Cr26,133 per sqft",750 sqft,NAN,NAN,34 out of 37,New Property,Unfurnished,East,Lodha Regalia,Freehold,1 Covered,2,1,"Garden/Park, Pool, Main Road",Poss. by May '25
327,2 BHK Apartment for Sale in Mulund Mumbai,"2.34 Cr27,517 per sqft",854 sqft,NAN,NAN,21 out of 37,New Property,Unfurnished,East,NAN,Freehold,1 Covered,2,1,"Garden/Park, Pool, Main Road",Poss. by Nov '28
328,1 BHK Apartment for Sale in Jay Prakash Nagar Goregaon East Mumbai,"1.21 Cr16,923 per sqft",407 sqft,NAN,NAN,7 out of 9,New Property,Unfurnished,East,NAN,Freehold,1 Covered,2,NAN,Main Road,Poss. by Sep '24
329,"3 BHK Apartment for Sale in The Gateway, Sewri West Mumbai",5.30 Cr,1258 sqft,NAN,NAN,2 out of 2,New Property,Semi-Furnished,East,The Gateway,Leasehold,2 Covered,4,2,"Garden/Park, Pool",Poss. by Sep '28
330,"3 BHK Apartment for Sale in Oberoi Sky City, Borivali East Mumbai","4.25 Cr24,011 per sqft",1073 sqft,NAN,Ready to Move,36 out of 62,Resale,Unfurnished,North - East,Oberoi Sky City,Freehold,2 Covered,3,1,Garden/Park,NAN
331,"4 BHK Apartment for Sale in Rustomjee Seasons, Kala Nagar Mumbai","14 Cr56,000 per sqft",1770 sqft,NAN,Ready to Move,1 out of 24,Resale,Furnished,East,Rustomjee Seasons,Co-operative Society,3 Covered,5,1,"Garden/Park, Main Road",NAN
332,2 BHK Apartment for Sale in Chembur Mumbai,"4.50 Cr25,168 per sqft",1000 sqft,NAN,Ready to Move,1 out of 2,Resale,Semi-Furnished,East,NAN,Co-operative Society,1 Covered,2,NAN,Main Road,NAN
333,"2 BHK Apartment for Sale in Ruparel Stardom, Evershine Nagar Mumbai",1.76 Cr,737 sqft,NAN,NAN,10 out of 39,New Property,Unfurnished,NAN,Ruparel Stardom,NAN,NAN,2,1,NAN,Poss. by Jun '28
334,2 BHK Apartment for Sale in Dahisar East Mumbai,"1.55 Cr17,280 per sqft",624 sqft,NAN,NAN,NAN,New Property,Unfurnished,East,NAN,Freehold,"1 Covered,",2,NAN,Main Road,Poss. by Dec '26
335,"3 BHK Apartment for Sale in Siennaa, Thakur Village, Kandivali East Mumbai","3.60 Cr24,828 per sqft",980 sqft,NAN,NAN,45 out of 60,Resale,Unfurnished,East,Siennaa,Freehold,1 Covered,3,NAN,"Garden/Park, Pool, Main Road",Poss. by Aug '26
336,"2 BHK Apartment for Sale in Godrej Urban Park, Chandivali Mumbai","1.78 Cr15,034 per sqft",615 sqft,NAN,Ready to Move,11 out of 15,New Property,Semi-Furnished,East,Godrej Urban Park,Freehold,1 Covered,2,NAN,Garden/Park,NAN
337,"3 BHK Apartment for Sale in Lodha Acenza, Andheri East Mumbai","4.90 Cr22,273 per sqft",1395 sqft,NAN,NAN,3 out of 15,New Property,Semi-Furnished,East,Lodha Acenza,Freehold,2 Covered,4,1,Main Road,Poss. by Dec '25
338,"2 BHK Apartment for Sale in Elixir Reserve, Powai Mumbai","2.99 Cr20,621 per sqft",810 sqft,NAN,NAN,10 out of 22,Resale,Semi-Furnished,East,Elixir Reserve,Freehold,1 Covered,2,2,Garden/Park,Poss. by Dec '26
339,"2 BHK Apartment for Sale in Piramal Mahalaxmi, Mahalakshmi Mumbai","5.19 Cr44,102 per sqft",790 sqft,NAN,NAN,23 out of 52,New Property,Unfurnished,East,Piramal Mahalaxmi,Freehold,1 Covered,2,NAN,Main Road,Poss. by Aug '24
340,"2 BHK Apartment for Sale in Sheth Irene, Malad West Mumbai","1.74 Cr25,626 per sqft",665 sqft,NAN,NAN,18 out of 49,New Property,Unfurnished,East,Sheth Irene,Co-operative Society,1 Covered,2,NAN,Main Road,Poss. by Dec '24
341,"2 BHK Apartment for Sale in Chandak Greenairy, Borivali East Mumbai","2 Cr27,778 per sqft",NAN,720 sqft,NAN,15 out of 45,Resale,Unfurnished,East,Chandak Greenairy,Freehold,NAN,2,NAN,Main Road,Poss. by Dec '26
342,"2 BHK Apartment for Sale in Asshna Seabliss, Versova Andheri West Mumbai","2.40 Cr21,295 per sqft",732 sqft,NAN,NAN,11 out of 23,New Property,Unfurnished,East,Asshna Seabliss,Freehold,1 Covered,2,1,"Garden/Park, Pool, Main Road",Poss. by Jun '25
343,"2 BHK Apartment for Sale in Piramal Mahalaxmi, Mahalakshmi Mumbai","3.98 Cr52,231 per sqft",762 sqft,NAN,NAN,16 out of 70,New Property,Unfurnished,East,Piramal Mahalaxmi,Freehold,1 Covered,2,NAN,"Garden/Park, Pool, Main Road",Poss. by Dec '24
344,"3 BHK Apartment for Sale in North Barcelona , Mira Road East Mumbai","1.60 Cr12,800 per sqft",1007 sqft,NAN,NAN,2 out of 30,New Property,Unfurnished,East,North Barcelona,Freehold,"1 Covered,",3,3,"Garden/Park, Main Road",Poss. by Dec '24
