BHK,sector,price,price_persqft,SuperArea,Floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
3,Kokapet,1.34,7800,1718.0,10+,Semi-Furnished,East,available,3,1,"Garden/Park, Main Road",Hydrabad
2,others,1.38,9511,1451.0,4,Unfurnished,East,available,2,3,,Hydrabad
3,others,0.71,4999,1420.0,4,Unfurnished,West,available,3,2,Garden/Park,Hydrabad
3,Gachibowli,1.0,7199,1389.0,8,Unfurnished,East,available,3,2,Garden/Park,Hydrabad
3,Nizampet,1.02,8761,1164.0,,Unfurnished,,May be not,4,,,Hydrabad
2,Yapral,0.7320000000000001,6000,1220.0,,Unfurnished,,May be not,2,,,Hydrabad
2,Kollur,0.777,6000,1295.0,10,Unfurnished,,available,2,,,Hydrabad
2,Bachupally,0.9390000000000001,6500,1445.0,,Unfurnished,,May be not,2,,,Hydrabad
3,others,0.9920000000000001,5699,1740.0,,Unfurnished,,available,3,,,Hydrabad
3,Outer Ring Road,1.11,5887,1886.0,10+,Unfurnished,East,available,3,3,"Garden/Park, Pool, Main Road",Hydrabad
3,NH 9,1.71,,1566.0,,Unfurnished,,May be not,3,,,Hydrabad
3,Yapral,1.42,6500,2187.0,,Unfurnished,,May be not,3,,,Hydrabad
2,others,0.6759999999999999,5496,1230.0,4,Unfurnished,East,available,2,2,,Hydrabad
2,others,0.5,4167,1200.0,4,Semi-Furnished,,May be not,2,,,Hydrabad
2,Kollur,0.8009999999999999,6045,1325.0,1,Unfurnished,West,available,2,1,"Garden/Park, Pool, Main Road",Hydrabad
3,Outer Ring Road,1.08,5950,1815.0,5,Unfurnished,East,available,3,2,Main Road,Hydrabad
3,Puppalguda,1.51,9999,1514.0,,Unfurnished,,available,3,,,Hydrabad
3,Kollur,1.3,6863,1894.0,10+,Unfurnished,East,available,3,1,"Garden/Park, Main Road",Hydrabad
3,Narsingi,2.6,11135,2335.0,10+,Unfurnished,East,May be not,3,1,Main Road,Hydrabad
3,Narsingi,2.45,10493,2335.0,6,Unfurnished,East,May be not,3,1,Main Road,Hydrabad
4,NH 9,5.5,16784,3277.0,4,Semi-Furnished,East,available,4,2,"Garden/Park, Pool, Main Road",Hydrabad
2,Kollur,0.9,6498,1385.0,5,Unfurnished,East,available,2,2,"Garden/Park, Main Road",Hydrabad
3,Kollur,1.16,6764,1715.0,10+,Unfurnished,East,May be not,3,1,Main Road,Hydrabad
3,others,1.38,7365,1880.0,5,Unfurnished,North,available,3,2,Garden/Park,Hydrabad
3,NH 9,3.1,14954,2073.0,10,Unfurnished,East,available,3,1,"Garden/Park, Pool, Main Road",Hydrabad
2,Kollur,0.8240000000000001,6219,1325.0,1,Unfurnished,East,available,2,1,"Garden/Park, Main Road",Hydrabad
4,Kokapet,4.0,8811,4540.0,10+,Unfurnished,East,available,4,,"Pool, Garden/Park, Main Road",Hydrabad
3,Kollur,1.45,5999,2417.0,9,Unfurnished,West,available,3,2,Main Road,Hydrabad
3,others,2.95,13483,2188.0,10+,Unfurnished,East,available,3,1,"Garden/Park, Pool, Main Road",Hydrabad
3,Tellapur,1.09,6561,1675.0,4,Unfurnished,East,available,3,1,"Garden/Park, Main Road",Hydrabad
2,Kollur,0.9,6667,1350.0,10,Unfurnished,East,available,2,1,Garden/Park,Hydrabad
3,Kollur,1.12,5999,1867.0,4,Unfurnished,East,available,3,2,Main Road,Hydrabad
4,NH 9,5.0,15253,3278.0,10+,Semi-Furnished,East,available,4,4,"Garden/Park, Pool",Hydrabad
3,Kokapet,1.84,7820,2353.0,10+,Unfurnished,East,available,3,1,"Garden/Park, Main Road",Hydrabad
3,others,1.28,8050,1590.0,8,Semi-Furnished,East,available,2,2,,Hydrabad
3,others,2.1,8824,2380.0,10+,Unfurnished,East,available,4,2,"Garden/Park, Main Road",Hydrabad
2,Bachupally,0.63,5575,1130.0,5,Unfurnished,West,May be not,2,1,Main Road,Hydrabad
3,Narsingi,2.6,11135,2335.0,10+,Unfurnished,East,May be not,3,2,Main Road,Hydrabad
3,Narsingi,2.5,10707,2335.0,10+,Unfurnished,East,available,3,2,"Garden/Park, Pool, Main Road",Hydrabad
3,Narsingi,2.7,10150,2660.0,9,Unfurnished,West,available,3,2,Garden/Park,Hydrabad
3,Narsingi,2.28,9800,2327.0,10+,Unfurnished,East,available,3,1,"Pool, Garden/Park, Main Road",Hydrabad
3,Narsingi,2.5,10707,2335.0,10+,Unfurnished,West,May be not,3,1,"Pool, Garden/Park, Main Road",Hydrabad
2,Narsingi,1.5,10949,1370.0,4,Unfurnished,East,May be not,2,1,"Pool, Garden/Park, Main Road",Hydrabad
3,Narsingi,2.55,10921,2335.0,10+,Unfurnished,,May be not,3,2,,Hydrabad
