,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
1285,"3 BHK Apartment for Sale in Miyapur, NH 9 Hyderabad","1.60 Cr8,999 per sqft",1350 sqft,NAN,Ready to Move,5 out of 15,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,3,NAN,NAN
1286,3 BHK Apartment for Sale in Hitech City Hyderabad,"2.60 Cr11,106 per sqft",NAN,2341 sqft,Ready to Move,9 out of 17,Resale,Unfurnished,East,NAN,NAN,NAN,3,2,NAN,NAN
1287,2 BHK Apartment for Sale in Rampally Hyderabad,"60 Lac4,615 per sqft",1150 sqft,NAN,Ready to Move,4 out of 5,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,2,NAN,NAN
1288,"3 BHK Apartment for Sale in Narsingi, Outer Ring Road Hyderabad","2.76 Cr13,000 per sqft",NAN,2125 sqft,Ready to Move,16 out of 30,Resale,Unfurnished,NAN,NAN,NAN,NAN,3,1,NAN,NAN
1289,2 BHK Apartment for Sale in Turkayamjal Hyderabad,"55 Lac4,583 per sqft",NAN,1200 sqft,Ready to Move,3 out of 5,Resale,Unfurnished,East,NAN,Freehold,NAN,2,2,Garden/Park,NAN
1290,"2 BHK Apartment for Sale in Ameerpet, NH 9 Hyderabad",64 Lac,1150 sqft,NAN,NAN,1 out of 4,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,2,NAN,NAN
1291,3 BHK Apartment for Sale in Mayuri Nagar Miyapur Hyderabad,"1.36 Cr8,000 per sqft",NAN,1700 sqft,Ready to Move,6 out of 9,Resale,Furnished,NAN,NAN,NAN,NAN,3,2,NAN,NAN
1292,3 BHK Apartment for Sale in Dhyanish Homes Hyderabad,"75 Lac5,415 per sqft",1300 sqft,NAN,Ready to Move,3 out of 5,Resale,Unfurnished,East,NAN,Freehold,NAN,2,2,NAN,NAN
1293,"3 BHK Apartment for Sale in Malakpet, NH 9 Hyderabad",1.50 Cr,1650 sqft,NAN,Ready to Move,3 out of 4,Resale,Unfurnished,East,NAN,Freehold,NAN,3,2,NAN,NAN
1294,2 BHK Builder Floor for Sale in Upperpally Hyderabad,"35 Lac3,500 per sqft",NAN,1000 sqft,Ready to Move,3 out of 5,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1295,"3 BHK Apartment for Sale in Kondapur, Hyderabad Hyderabad","1.20 Cr7,524 per sqft",NAN,1595 sqft,Ready to Move,5 out of 6,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1296,2 BHK Apartment for Sale in sanath Hyderabad,"1.30 Cr9,517 per sqft",NAN,1366 sqft,Ready to Move,4 out of 15,Resale,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1297,"3 BHK Builder Floor for Sale in Karthikeya, Secunderabad Hyderabad","1.30 Cr8,125 per sqft",NAN,1600 sqft,Ready to Move,3 out of 6,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1298,"> 10 BHK Builder Floor for Sale in Tellapur, Outer Ring Road Hyderabad","4.25 Cr5,312 per sqft",NAN,8000 sqft,Ready to Move,Ground out of 5,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,> 10,NAN,NAN,NAN
1299,5 BHK Penthouse for Sale in HMT Nagar Hyderabad,"1.50 Cr8,108 per sqft",NAN,1850 sqft,NAN,Ground out of 5,Resale,Unfurnished,NAN,NAN,NAN,NAN,4,NAN,NAN,NAN
1300,3 BHK Apartment for Sale in Neknampur Hyderabad,"1.20 Cr7,164 per sqft",NAN,1675 sqft,Ready to Move,2 out of 6,Resale,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1301,3 BHK Apartment for Sale in Puppalaguda Hyderabad,"1 Cr6,667 per sqft",NAN,1500 sqft,Ready to Move,4 out of 5,Resale,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1302,2 BHK Apartment for Sale in Begumpet Hyderabad,"50 Lac5,025 per sqft",NAN,995 sqft,Ready to Move,3 out of 3,Resale,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1303,"2 BHK Apartment for Sale in Miyapur, NH 9 Hyderabad","1.20 Cr9,901 per sqft",NAN,1212 sqft,Ready to Move,39 out of 41,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
